,round,year,company,value,pars
0,0.0,2021.0,ALL,10600.0,CapNextRound
1,0.0,2021.0,Andrews,5300.0,CapNextRound
2,0.0,2021.0,Baldwin,5300.0,CapNextRound
3,0.0,2021.0,Chester,5300.0,CapNextRound
4,0.0,2021.0,Digby,5300.0,CapNextRound
5,0.0,2021.0,Erie,5300.0,CapNextRound
6,0.0,2021.0,Ferris,5300.0,CapNextRound
7,0.0,2022.0,Digby,200.0,CapNextRound
8,0.0,2023.0,Andrews,600.0,CapNextRound
9,0.0,2023.0,Chester,400.0,CapNextRound
10,0.0,2023.0,Erie,600.0,CapNextRound
11,0.0,2024.0,Andrews,600.0,CapNextRound
12,0.0,2024.0,Baldwin,850.0,CapNextRound
13,0.0,2024.0,Chester,400.0,CapNextRound
14,0.0,2024.0,Erie,1500.0,CapNextRound
15,0.0,2025.0,Baldwin,400.0,CapNextRound
16,0.0,2025.0,Digby,100.0,CapNextRound
17,0.0,2026.0,Baldwin,650.0,CapNextRound
18,0.0,2026.0,Chester,700.0,CapNextRound
19,0.0,2026.0,Digby,650.0,CapNextRound
20,1.0,2022.0,ALL,10600.0,CapNextRound
21,1.0,2022.0,Andrews,5300.0,CapNextRound
22,1.0,2022.0,Baldwin,5500.0,CapNextRound
23,1.0,2022.0,Chester,5300.0,CapNextRound
24,1.0,2022.0,Digby,5700.0,CapNextRound
25,1.0,2022.0,Erie,5300.0,CapNextRound
26,1.0,2022.0,Ferris,3900.0,CapNextRound
27,2.0,2023.0,ALL,10600.0,CapNextRound
28,2.0,2023.0,Andrews,5900.0,CapNextRound
29,2.0,2023.0,Baldwin,6200.0,CapNextRound
30,2.0,2023.0,Chester,5700.0,CapNextRound
31,2.0,2023.0,Digby,5900.0,CapNextRound
32,2.0,2023.0,Erie,5900.0,CapNextRound
33,2.0,2023.0,Ferris,2900.0,CapNextRound
34,3.0,2024.0,ALL,10000.0,CapNextRound
35,3.0,2024.0,Andrews,6500.0,CapNextRound
36,3.0,2024.0,Baldwin,6251.0,CapNextRound
37,3.0,2024.0,Chester,5100.0,CapNextRound
38,3.0,2024.0,Digby,5600.0,CapNextRound
39,3.0,2024.0,Erie,5900.0,CapNextRound
40,3.0,2024.0,Ferris,3050.0,CapNextRound
41,4.0,2025.0,ALL,10000.0,CapNextRound
42,4.0,2025.0,Andrews,5901.0,CapNextRound
43,4.0,2025.0,Baldwin,7950.0,CapNextRound
44,4.0,2025.0,Chester,5700.0,CapNextRound
45,4.0,2025.0,Digby,5700.0,CapNextRound
46,4.0,2025.0,Erie,5000.0,CapNextRound
47,4.0,2025.0,Ferris,3050.0,CapNextRound
48,5.0,2026.0,ALL,12400.0,CapNextRound
49,5.0,2026.0,Andrews,7101.0,CapNextRound
50,5.0,2026.0,Baldwin,9150.0,CapNextRound
51,5.0,2026.0,Chester,7480.0,CapNextRound
52,5.0,2026.0,Digby,6250.0,CapNextRound
53,5.0,2026.0,Erie,5300.0,CapNextRound
54,5.0,2026.0,Ferris,3050.0,CapNextRound
55,6.0,2027.0,ALL,12400.0,CapNextRound
56,6.0,2027.0,Andrews,7101.0,CapNextRound
57,6.0,2027.0,Baldwin,9200.0,CapNextRound
58,6.0,2027.0,Chester,8780.0,CapNextRound
59,6.0,2027.0,Digby,6800.0,CapNextRound
60,6.0,2027.0,Erie,6400.0,CapNextRound
61,6.0,2027.0,Ferris,3050.0,CapNextRound
62,6.5,2027.5,ALL,9400.0,CapNextRound
63,6.5,2027.5,Andrews,1200.0,CapNextRound
64,6.5,2027.5,Baldwin,2600.0,CapNextRound
65,6.5,2027.5,Chester,2600.0,CapNextRound
66,6.5,2027.5,Erie,600.0,CapNextRound
67,7.0,2028.0,ALL,12400.0,CapNextRound
68,7.0,2028.0,Andrews,7101.0,CapNextRound
69,7.0,2028.0,Baldwin,9200.0,CapNextRound
70,7.0,2028.0,Chester,8780.0,CapNextRound
71,7.0,2028.0,Digby,6800.0,CapNextRound
72,7.0,2028.0,Erie,6400.0,CapNextRound
73,7.0,2028.0,Ferris,3050.0,CapNextRound
